Unnamed: 0,reviews
90,nice educational places 👍
91,Good
92,awesome
93,Premier uni of Malaysia
94,Greatest
95,Okay.
96,Great campus
97,Wonderful university
98,Nice  Scenery Area
99,Good
100,the best moment in life :)
101,Nice view....
102,Best
103,Good
104,not as you expect
105,Great place
106,I studied at this university
107,Excellent service
108,Best in Malaysia.
109,Lovely place
110,No thank you
111,Nice place
112,Great reception
113,Wow
114,Back
115,wow
116,Always the best
117,Alma mater
118,Malaysian University
119,my university
120,Good University
121,wonderful place
122,Best place
123,university
124,"A beautiful campus to continue studies. Many facilities are provided. So keep learning and don't be fooled by the words that you can get rich without going to university.

And don't believe that Mark Zuckerberg and others can be successful if they stop studying. OH! He dropped out of one of the best universities in the ""WORLD"" instead of SPM!"
125,"University Malaya is one of the leading and oldest universities in Malaysia; Located in Kuala Lumpur Malaysia. The university has more than 27,000 students, of which more than 3500 are from overseas students. UM is ranked 70th in the QS World University."
126,One of the best universities in Asia
127,I studied here. It's the best ❤️
128,"One of the best campuses in Malaysia. The environment is quite beautiful, neatly arranged, beautiful and clean as we will find in various other universities."
129,"A large university, complete with beautiful facilities for the benefit of the students. Compact with the construction of buildings for educational purposes."
130,A large university and it is the best university in Malaysia
131,"I went for a walk and went to school, and the map was very nice to us. I was very curious if we were North Koreans or South Koreans."
132,Best!
133,Malaysia's top university!
134,Very very good
135,👌😊
136,It is worse than the military school. Where is the cafeteria? ? ? The toilet is not enough! ! !
137,Very good university
